id,name,calories,protein,carbs,fat
58,100g Cornflakes with Milk + 2 Boiled Eggs + Buttermilk,283,17.8,21.0,13.6
59,50g Popcorn + 3 Egg Whites + Buttermilk,266,18.4,41.1,3.8
60,1 Banana + 30g Soya Chunks + Buttermilk,214,17.8,34.3,1.6
61,100g Boiled Corn + 75g Chicken Breast,186,22.4,21.0,3.1
62,100g Boiled Corn + 75g Tuna,183,22.5,21.0,2.1
63,1 Apple + 150g Greek Yogurt + Buttermilk,246,15.0,28.3,8.9
64,100g Boiled Corn + 75g Paneer,295,17.1,21.9,17.1
65,100g Muesli with Milk + 2 Boiled Eggs,294,17.5,23.6,13.8
66,1 Veg Sandwich + 3 Egg Whites + Buttermilk,268,18.3,37.0,4.7
67,1 Orange + 30g Soya Chunks + Buttermilk,186,17.9,26.8,1.4
68,1 Guava + 75g Chicken Breast + Buttermilk,180,22.8,15.9,3.7
69,100g Muesli with Milk + 50g Tuna + Buttermilk,218,18.8,24.0,4.8
70,100g Pomegranate + 150g Greek Yogurt + Buttermilk,250,16.3,26.3,9.9
71,1 Apple + 75g Paneer + Buttermilk,299,15.2,23.2,17.0
72,100g Muesli with Milk + 2 Boiled Eggs + Buttermilk,316,18.6,25.2,15.0
73,50g Biscuit/Khakhra + 3 Egg Whites + Buttermilk,296,15.8,36.4,9.3
74,100g Pomegranate + 30g Soya Chunks,186,17.3,28.6,1.3
75,100g Muesli with Milk + 50g Chicken Breast + Buttermilk,220,18.7,24.0,5.5
76,1 Guava + 75g Tuna + Buttermilk,177,22.8,15.9,2.7
77,100g Cornflakes with Milk + 150g Greek Yogurt,250,17.6,24.2,9.3
78,100g Pomegranate + 75g Paneer + Buttermilk,304,16.5,21.2,18.0
79,50g Puffed Rice + 2 Boiled Eggs,338,15.8,41.2,10.8
80,1 Apple + 30g Soya Chunks,182,16.0,30.6,0.3
81,1 Banana + 75g Chicken Breast,179,20.1,22.8,1.9
82,1 Banana + 75g Tuna,176,20.2,22.8,0.9
83,1 Banana + 150g Greek Yogurt + Buttermilk,256,15.7,30.4,9.0
84,100g Cornflakes with Milk + 75g Paneer,304,17.8,19.1,17.4
85,100g Fruit Salad + 50g Soya Chunks,218,26.6,28.0,0.3
86,1 Orange + 75g Chicken Breast + Buttermilk,173,21.3,16.9,2.9
87,1 Orange + 75g Tuna + Buttermilk,170,21.4,16.9,1.9
88,100g Muesli with Milk + 100g Greek Yogurt + Buttermilk,257,15.0,28.0,9.4
89,1 Banana + 75g Paneer + Buttermilk,310,15.9,25.3,17.1
90,100g Boiled Corn + 30g Soya Chunks + Buttermilk,222,20.1,32.5,2.8
91,100g Pomegranate + 75g Chicken Breast,173,20.7,18.7,2.8
92,100g Pomegranate + 75g Tuna,170,20.8,18.7,1.8
93,100g Boiled Corn + 150g Greek Yogurt + Buttermilk,264,18.0,28.6,10.2
94,100g Boiled Corn + 75g Paneer + Buttermilk,317,18.2,23.5,18.3
95,100g Fruit Bowl + 30g Soya Chunks + Buttermilk,178,17.3,24.3,1.5
96,1 Apple + 75g Chicken Breast,168,19.4,20.7,1.8
97,1 Apple + 75g Tuna,165,19.5,20.7,0.8
98,100g Cornflakes with Milk + 150g Greek Yogurt + Buttermilk,272,18.7,25.8,10.5
99,50g Popcorn + 50g Paneer,326,15.6,39.5,12.7
100,100g Fruit Bowl + 50g Soya Chunks,224,26.6,29.3,0.5
101,100g Fruit Bowl + 75g Chicken Breast + Buttermilk,164,20.8,14.4,3.0
102,100g Fruit Bowl + 75g Tuna + Buttermilk,161,20.8,14.4,2.0
103,100g Muesli with Milk + 150g Greek Yogurt,284,18.4,28.4,10.7
104,100g Cornflakes with Milk + 75g Paneer + Buttermilk,326,18.9,20.7,18.6
105,1 Guava + 30g Soya Chunks,172,18.2,24.2,1.1
106,50g Puffed Rice + 50g Chicken Breast,242,15.9,40.0,1.2
107,50g Puffed Rice + 50g Tuna,240,15.9,40.0,0.6
108,50g Popcorn + 100g Greek Yogurt,290,15.4,42.9,7.2
109,1 Veg Sandwich + 50g Paneer,328,15.6,35.4,13.6
110,100g Fruit Salad + 30g Soya Chunks + Buttermilk,172,17.3,23.0,1.4
111,1 Guava + 75g Chicken Breast,158,21.6,14.3,2.5
112,1 Guava + 75g Tuna,155,21.7,14.3,1.5
113,1 Veg Sandwich + 100g Greek Yogurt,292,15.4,38.8,8.2
114,100g Muesli with Milk + 75g Paneer,337,18.6,23.3,18.8
115,50g Soya Chunks,172,26.0,16.5,0.2
116,100g Fruit Salad + 75g Chicken Breast + Buttermilk,158,20.8,13.1,2.9
117,100g Fruit Salad + 75g Tuna + Buttermilk,155,20.8,13.1,1.9
118,50g Popcorn + 100g Greek Yogurt + Buttermilk,312,16.6,44.5,8.4
119,100g Cornflakes with Milk + 30g Soya Chunks + Buttermilk,230,20.8,29.7,3.1
120,1 Orange + 75g Chicken Breast,151,20.2,15.3,1.7
121,50g Popcorn + 50g Tuna,252,19.2,38.9,2.6
122,1 Veg Sandwich + 100g Greek Yogurt + Buttermilk,314,16.5,40.4,9.4
123,1 Orange + 50g Soya Chunks,234,27.2,31.8,0.3
124,50g Popcorn + 50g Chicken Breast,254,19.1,38.9,3.3
125,1 Orange + 75g Tuna,148,20.3,15.3,0.7
126,50g Puffed Rice + 150g Greek Yogurt,327,16.7,46.0,7.7
127,100g Muesli with Milk + 30g Soya Chunks,242,20.5,32.3,3.4
128,1 Veg Sandwich + 50g Chicken Breast,255,19.1,34.8,4.2
129,1 Veg Sandwich + 50g Tuna,253,19.1,34.8,3.6
130,100g Muesli with Milk + 30g Soya Chunks + Buttermilk,264,21.6,33.9,4.5
131,100g Fruit Bowl + 75g Chicken Breast,142,19.6,12.8,1.8
132,100g Fruit Bowl + 75g Tuna,139,19.7,12.8,0.8
133,50g Puffed Rice + 30g Soya Chunks,285,18.8,49.9,0.3
134,50g Puffed Rice + 50g Chicken Breast + Buttermilk,264,17.0,41.6,2.5
135,50g Puffed Rice + 50g Tuna + Buttermilk,262,17.1,41.6,1.8
