food_name,serving_quantity,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_ug,vitamin_b12_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug
Aval / Poha (Plain Dry flake),100 g,346,6.6,77.3,1.2,2.8,0.6,0.25,0,8,145,20,5.5,64,178,1.1,0,0.24,0.05,2.1,0.45,0.16,15.0,0,0,0,0.08,0.2
Aval Mixture,100 g,485,8.2,58.4,24.2,3.4,1.8,4.5,0,510,210,41,3.8,52,138,0.81,11,0.18,0.05,1.65,0.34,0.1,18.5,0,0.4,0,3.22,8.5
Aval Upma,100 g,168,2.9,28.2,4.8,1.6,0.5,0.7,0,295,110,18,2.4,28,68,0.48,12,0.11,0.03,0.85,0.16,0.07,8.2,0,2.1,0,0.52,1.8
Aval Upma / Poha (Prepared),100 g,168,2.9,28.2,4.8,1.6,0.5,0.7,0,295,110,18,2.4,28,68,0.48,12,0.11,0.03,0.85,0.16,0.07,8.2,0,2.1,0,0.52,1.8
Avial / Kootu,100 g,98,2.4,9.1,6.1,2.5,2.1,4.2,0,210,195,34,0.88,21,48,0.35,82,0.06,0.04,0.51,0.22,0.07,18.2,0,4.5,0,0.42,6.8
Banana,1 piece (~100g),89,1.1,22.8,0.3,2.6,12.2,0.11,0,1,358,5,0.26,27,22,0.15,3,0.03,0.07,0.67,0.33,0.37,20.0,0,8.7,0,0.1,0.5
Banana with Milk,100 g,76,2.3,12.4,1.9,1.1,8.5,1.1,6,26,242,65,0.18,19,56,0.26,29,0.04,0.1,0.42,0.28,0.18,12.5,0.24,4.1,0.65,0.08,0.3
Beans / Cabbage / Beetroot / Carrot Poriyal,100 g,74,1.6,8.2,4.2,2.8,3.4,2.1,0,195,182,28,0.65,14,32,0.24,180,0.05,0.04,0.42,0.18,0.08,24.0,0,12.5,0,0.38,14.0
Beetroot / Carrot / Radish (Raw),100 g,41,0.9,9.6,0.2,2.8,4.7,0.04,0,69,320,33,0.3,12,35,0.24,835,0.07,0.06,0.98,0.27,0.14,19.0,0,5.9,0,0.66,13.2
Benne Dosa / Paper Roast (Butter Deep Base),1 piece (~80g),290,3.6,29.4,17.6,1.4,0.1,10.5,42,245,92,18,0.94,22,58,0.41,134,0.08,0.04,0.54,0.14,0.05,4.6,0.03,0,0.22,0.55,2.1
Bhatura,1 piece (~75g),245,5.4,34.2,9.5,1.1,0.8,2.1,3,280,62,18,0.72,15,52,0.38,4,0.11,0.05,1.35,0.16,0.03,16.5,0,0,0.01,0.84,2.4
Biscuit / Khakhra (Standard Commercial Baseline),100 g,445,7.8,68.4,15.6,2.4,22.4,7.2,4,390,115,34,1.45,22,84,0.52,14,0.16,0.08,1.8,0.28,0.04,18.0,0.01,0,0.04,0.65,2.2
Bisibele Bath / Sambar Sadam,100 g,146,3.8,22.8,4.3,2.1,1.2,1.9,5,295,132,20,0.85,22,64,0.48,38,0.07,0.03,0.68,0.16,0.06,14.0,0.01,1.4,0.04,0.31,1.4
Black Chickpea Sundal,100 g,164,7.9,21.4,5.2,5.8,1.2,1.9,0,225,298,45,2.4,48,122,0.85,14,0.16,0.05,0.74,0.26,0.11,44.0,0,2.1,0,0.52,2.6
Black Chickpea Sundal (Kala Chana),100 g,164,7.9,21.4,5.2,5.8,1.2,1.9,0,225,298,45,2.4,48,122,0.85,14,0.16,0.05,0.74,0.26,0.11,44.0,0,2.1,0,0.52,2.6
Black Chickpeas (Boiled Raw Index),100 g,142,7.8,21.2,1.4,6.2,0.9,0.18,0,5,310,41,2.4,46,124,0.88,6,0.15,0.05,0.72,0.26,0.12,55.0,0,1.4,0,0.38,2.4
Black Coffee / Green Tea (Plain Unsweetened),100 g,2,0.1,0.2,0.0,0,0,0.0,0,2,49,2,0.02,3,3,0.01,0,0.0,0.01,0.11,0.01,0.0,0,0,0,0,0.0,0.0
Boiled Corn,100 g,96,3.4,21.0,1.5,2.4,4.5,0.2,0,15,218,2,0.52,26,77,0.46,9,0.09,0.06,1.68,0.72,0.14,23.0,0,5.5,0,0.09,0.4
Boiled Egg,1 piece (~50g),78,6.3,0.6,5.3,0,0.6,1.6,186,62,63,25,0.6,5,86,0.52,75,0.03,0.26,0.04,0.7,0.06,22.0,0.56,0,1.1,0.52,0.1
Boiled Eggs,1 piece (~50g),78,6.3,0.6,5.3,0,0.6,1.6,186,62,63,25,0.6,5,86,0.52,75,0.03,0.26,0.04,0.7,0.06,22.0,0.56,0,1.1,0.52,0.1
Bonda / Mysore Bonda / Bajji,1 piece (~50g),162,2.2,16.5,9.8,0.9,0.5,1.5,1,210,84,18,0.58,14,38,0.25,12,0.04,0.03,0.52,0.11,0.04,9.5,0,1.1,0,1.34,3.9
Bread Omelette / Egg Sandwich,"1 piece (2 slices + 1 egg, ~110g)",265,11.2,28.5,11.4,1.8,3.4,3.2,186,420,142,64,1.85,22,145,0.92,76,0.14,0.28,1.95,0.65,0.1,24.0,0.58,0.8,1.1,0.82,2.4
Brinjal / Ladies Finger (Raw),100 g,25,1.0,5.9,0.2,3.0,3.5,0.03,0,2,229,9,0.23,14,24,0.16,1,0.04,0.04,0.65,0.28,0.08,22.0,0,2.2,0,0.3,3.5
Brinjal Curry / Ladies Finger Fry / Mushroom Masala,100 g,92,1.8,8.4,5.8,3.1,2.4,0.8,0,220,210,42,0.82,36,41,0.38,45,0.09,0.05,0.62,0.24,0.15,38.0,0,11.2,0,0.68,22.0
Brown Rice (Cooked),100 g,112,2.6,23.5,0.9,1.8,0.1,0.18,0,4,76,9,0.52,43,102,0.65,0,0.1,0.02,1.5,0.28,0.14,8.0,0,0,0,0.05,0.2
Brown Rice + Dal + Vegetables (Composite Density),100 g,110,3.6,19.8,1.8,3.1,1.2,0.3,0,185,142,24,0.92,36,74,0.58,52,0.11,0.04,1.2,0.24,0.11,18.5,0,3.6,0,0.32,4.5
Bun (Plain Bakery Style),1 piece (~60g),172,4.8,32.4,2.4,1.1,4.8,0.6,2,240,58,22,0.68,14,48,0.32,4,0.1,0.05,1.15,0.18,0.03,14.0,0,0,0,0.22,0.8
Butter,100 g,717,0.9,0.1,81.1,0,0.1,51.4,215,11,24,24,0.02,2,24,0.09,684,0.0,0.03,0.04,0.11,0.0,3.0,0.17,0,1.5,2.32,7.0
Butter Chapati,1 piece (~48g),135,3.6,22.0,4.1,3.2,0.2,1.9,8,125,135,18,1.47,46,110,0.84,24,0.16,0.04,1.66,0.28,0.11,16.8,0.01,0,0.04,0.41,1.1
Butter Naan / Garlic Naan,1 piece (~90g),298,6.5,45.2,10.4,1.6,1.5,5.8,22,410,85,46,0.95,16,74,0.46,65,0.15,0.09,1.92,0.26,0.05,25.5,0.08,0.8,0.16,0.42,1.4
"Buttermilk (Spiced, Diluted)",100 g,22,1.1,1.6,1.2,0.1,1.4,0.7,3,145,52,41,0.08,5,31,0.14,11,0.01,0.04,0.06,0.12,0.02,1.8,0.12,0.8,0.01,0.02,0.1
Cabbage / Cauliflower / Broccoli / Capsicum (Raw),100 g,25,1.3,5.8,0.1,2.5,3.2,0.02,0,18,170,40,0.47,12,26,0.18,5,0.06,0.04,0.23,0.21,0.12,43.0,0,36.6,0,0.15,76.0
Cashews,100 g,553,18.2,30.2,43.8,3.3,5.9,7.8,0,12,660,37,6.68,292,593,5.78,0,0.42,0.06,1.06,0.86,0.42,25.0,0,0.5,0,0.9,34.1
Chapati,1 piece (~45g),108,3.5,21.8,1.2,3.2,0.2,0.2,0,115,132,16,1.45,46,108,0.82,0,0.16,0.04,1.65,0.26,0.11,16.5,0,0,0,0.36,0.8
Chapati / Phulka,1 piece (~45g),108,3.5,21.8,1.2,3.2,0.2,0.2,0,115,132,16,1.45,46,108,0.82,0,0.16,0.04,1.65,0.26,0.11,16.5,0,0,0,0.36,0.8
Chapati / Phulka / Whole Wheat Chapati,1 piece (~45g),108,3.5,21.8,1.2,3.2,0.2,0.2,0,115,132,16,1.45,46,108,0.82,0,0.16,0.04,1.65,0.26,0.11,16.5,0,0,0,0.36,0.8
Cheese (Processed Block),100 g,354,21.2,2.4,28.5,0,0.5,18.2,84,1240,78,680,0.42,24,460,3.1,245,0.02,0.35,0.08,0.41,0.06,14.0,1.15,0,0.42,0.55,2.4
Cheese (Processed Cheddar Indian Block),100 g,354,21.2,2.4,28.5,0,0.5,18.2,84,1240,78,680,0.42,24,460,3.1,245,0.02,0.35,0.08,0.41,0.06,14.0,1.15,0,0.42,0.55,2.4
Cheese Dosa / Paneer Dosa,1 piece (~110g),285,9.4,24.2,16.5,1.1,0.4,9.8,36,310,88,185,0.82,24,122,0.65,92,0.07,0.12,0.48,0.24,0.05,6.8,0.42,0.2,0.14,0.48,1.6
Chicken 65 / Pepper Fry / Sukka / Tikka,100 g,215,18.4,4.1,13.8,0.6,0.2,3.2,64,480,210,22,1.15,26,148,1.1,18,0.07,0.11,6.4,0.62,0.31,6.0,0.38,1.4,0.1,1.15,2.4
Chicken Biryani,100 g,185,9.4,21.8,6.8,0.9,0.5,2.1,28,340,168,18,0.98,24,92,0.78,16,0.07,0.06,2.6,0.38,0.16,8.4,0.24,1.2,0.1,0.52,1.8
Chicken Biryani / Fried Rice,100 g,185,9.4,21.8,6.8,0.9,0.5,2.1,28,340,168,18,0.98,24,92,0.78,16,0.07,0.06,2.6,0.38,0.16,8.4,0.24,1.2,0.1,0.52,1.8
Chicken Breast (Boiled / Grilled Clean cut),100 g,120,25.4,0.0,2.1,0,0,0.6,73,65,312,6,0.43,28,210,0.82,0,0.07,0.1,11.2,0.86,0.55,4.0,0.31,0,0.1,0.22,0.0
"Chicken Breast (Raw, Skinless)",100 g,120,25.4,0.0,2.1,0,0,0.6,73,65,312,6,0.43,28,210,0.82,0,0.07,0.1,11.2,0.86,0.55,4.0,0.31,0,0.1,0.22,0.0
Chicken Curry,100 g,142,14.5,3.2,7.8,0.9,0.5,1.8,48,320,185,18,0.92,24,115,0.85,24,0.06,0.09,5.8,0.52,0.25,8.5,0.34,1.1,0.12,0.64,2.1
Chicken Curry / Gravy / Roast,100 g,142,14.5,3.2,7.8,0.9,0.5,1.8,48,320,185,18,0.92,24,115,0.85,24,0.06,0.09,5.8,0.52,0.25,8.5,0.34,1.1,0.12,0.64,2.1
Chicken Curry / Gravy with Rice (Composite Density),100 g,158,7.8,20.4,5.1,0.6,0.4,1.4,22,260,145,14,0.68,22,78,0.62,18,0.05,0.06,2.4,0.32,0.14,6.8,0.18,0.8,0.08,0.42,1.4
Chicken Keema,100 g,148,18.5,2.1,7.4,0.5,0.2,2.1,72,290,240,14,1.05,22,168,1.15,12,0.06,0.09,6.5,0.64,0.32,6.8,0.32,0.8,0.08,0.38,1.2
Chicken Liver,100 g,119,16.9,0.7,4.8,0,0,1.6,345,71,230,8,8.99,19,297,2.67,3296,0.29,1.78,9.73,6.22,0.85,588.0,16.6,17.9,0.2,0.7,0.0
Chicken Liver (Raw),100 g,119,16.9,0.7,4.8,0,0,1.6,345,71,230,8,8.99,19,297,2.67,3296,0.29,1.78,9.73,6.22,0.85,588.0,16.6,17.9,0.2,0.7,0.0
Chicken Puff,1 piece (~100g),345,11.2,27.4,21.2,1.6,1.5,9.8,28,440,182,22,1.32,21,115,0.78,12,0.11,0.08,4.1,0.48,0.21,18.0,0.12,1.8,0.04,1.85,4.1
Chicken Wings,100 g,203,22.1,0.0,12.8,0,0,3.6,84,78,214,11,1.12,21,165,1.25,24,0.06,0.12,6.8,0.72,0.34,4.0,0.28,0,0.1,0.24,0.0
Chilli Parotta,100 g,248,4.2,31.5,11.6,2.4,3.8,2.6,2,465,134,22,0.92,16,58,0.44,32,0.1,0.05,1.28,0.18,0.07,14.2,0,8.5,0.01,0.95,3.1
Coconut Chutney,100 g,192,2.4,7.4,17.8,3.8,1.9,14.5,0,360,185,16,1.12,26,54,0.42,4,0.04,0.02,0.34,0.15,0.04,12.5,0,1.6,0,0.18,0.8
Coconut Rice,100 g,210,3.2,23.4,11.5,2.1,1.1,8.4,0,265,105,14,0.72,24,52,0.44,4,0.04,0.02,0.45,0.16,0.04,6.8,0,0.6,0,0.48,1.4
Coriander / Mint Leaves (Raw),100 g,23,2.1,3.7,0.5,2.8,0.9,0.04,0,46,521,67,1.77,26,48,0.5,337,0.07,0.16,1.11,0.25,0.15,62.0,0,27.0,0,2.5,310.0
"Cornflakes with Milk (Semi-Skimmed, No Added Sugar)",100 g,105,4.1,18.2,1.8,0.6,4.8,0.9,5,165,152,120,2.1,14,94,0.54,64,0.28,0.31,2.4,0.34,0.32,55.0,0.65,1.1,1.2,0.12,0.2
"Crab (Raw, Meat)",100 g,87,18.1,0.0,1.1,0,0,0.2,78,295,324,89,0.74,34,218,3.54,0,0.04,0.06,2.8,0.35,0.15,42.0,9.0,1.4,0.1,0.78,0.1
"Curd (Whole Milk, Standard Indian)",100 g,61,3.3,4.5,3.4,0,4.1,2.1,10,48,141,121,0.05,12,93,0.41,31,0.03,0.13,0.11,0.38,0.04,5.2,0.36,0.5,0.05,0.06,0.2
Curd (Yogurt - Standard Whole Milk),100 g,61,3.3,4.5,3.4,0,4.1,2.1,10,48,141,121,0.05,12,93,0.41,31,0.03,0.13,0.11,0.38,0.04,5.2,0.36,0.5,0.05,0.06,0.2
Curd / Greek Yogurt,100 g,61,3.3,4.5,3.4,0,4.1,2.1,10,48,141,121,0.05,12,93,0.41,31,0.03,0.13,0.11,0.38,0.04,5.2,0.36,0.5,0.05,0.06,0.2
Curd Rice,100 g,142,3.6,21.2,4.8,0.5,1.8,2.2,6,240,112,78,0.28,15,68,0.38,22,0.03,0.08,0.32,0.24,0.04,4.5,0.18,0.8,0.04,0.35,1.2
Curry Leaves (Raw),100 g,108,6.1,18.7,1.0,6.4,0.5,0.24,0,24,604,830,0.93,42,57,0.21,1260,0.08,0.21,2.3,0.28,0.18,92.0,0,4.1,0,1.82,210.0
Dal Fry / Dal Tadka,100 g,118,5.4,15.2,3.9,3.2,0.6,1.4,4,310,240,28,1.45,36,94,0.68,22,0.14,0.04,0.85,0.21,0.09,38.0,0,1.2,0.02,0.31,1.4
Dates (Dried),100 g,277,1.8,75.0,0.2,6.7,66.5,0.03,0,2,696,64,0.9,54,62,0.44,7,0.05,0.06,1.6,0.59,0.25,15.0,0,0,0,0.05,2.7
Dosa / Plain Dosa,1 piece (~60g),125,2.8,22.4,2.7,1.1,0.1,0.5,0,178,74,12,0.72,18,46,0.32,0,0.06,0.03,0.42,0.1,0.04,3.6,0,0,0,0.35,1.2
Drumstick (Raw pod),100 g,37,2.1,8.5,0.2,3.2,0.6,0.03,0,42,461,30,0.36,45,50,0.45,4,0.05,0.07,0.62,0.79,0.12,44.0,0,141.0,0,0.15,0.0
Egg (Boiled),1 piece (~50g),78,6.3,0.6,5.3,0,0.6,1.6,186,62,63,25,0.6,5,86,0.52,75,0.03,0.26,0.04,0.7,0.06,22.0,0.56,0,1.1,0.52,0.1
Egg Appam,1 piece (~100g),172,7.8,17.8,7.6,0.6,2.4,3.2,186,178,131,33,0.95,16,114,0.74,75,0.06,0.27,0.32,0.76,0.09,23.8,0.56,0.2,1.1,0.6,0.4
Egg Bhurji / Omelette,"1 piece (2 eggs, ~120g)",215,12.8,2.4,17.2,0.4,1.2,4.6,372,280,172,56,1.45,14,182,1.14,154,0.08,0.53,0.24,1.46,0.14,46.5,1.14,2.4,2.2,1.64,4.5
Egg Biryani,100 g,174,6.8,22.4,6.2,0.9,0.6,1.9,68,330,134,24,0.91,19,84,0.64,34,0.06,0.12,1.15,0.42,0.1,12.8,0.28,1.1,0.42,0.48,1.6
Egg Biryani / Fried Rice,100 g,174,6.8,22.4,6.2,0.9,0.6,1.9,68,330,134,24,0.91,19,84,0.64,34,0.06,0.12,1.15,0.42,0.1,12.8,0.28,1.1,0.42,0.48,1.6
Egg Curry,100 g,134,6.8,4.2,9.8,0.6,1.1,2.4,186,320,114,34,0.95,14,92,0.64,76,0.04,0.18,0.38,0.52,0.07,18.5,0.54,1.2,1.1,0.62,2.1
Egg Curry / Masala with Rice (Composite Density),100 g,148,4.9,20.8,4.8,0.6,0.5,1.3,56,275,110,21,0.65,16,72,0.49,38,0.05,0.11,0.62,0.36,0.07,11.5,0.21,0.9,0.34,0.44,1.2
Egg Dosa,1 piece (~120g),240,9.3,23.2,11.8,1.2,0.7,3.1,186,322,162,41,1.46,25,138,0.92,76,0.1,0.3,0.54,0.84,0.11,26.5,0.56,0.8,1.1,1.15,3.5
Egg Kothu Parotta,100 g,224,7.6,24.8,10.5,1.6,1.1,2.8,74,410,128,28,1.18,18,84,0.62,44,0.1,0.14,1.18,0.38,0.07,18.5,0.22,2.8,0.42,0.88,2.5
Egg Omelette,"1 piece (1 large egg base, ~60g)",115,6.5,1.2,9.2,0.2,0.7,2.4,187,145,88,29,0.74,7,92,0.58,78,0.04,0.27,0.12,0.74,0.07,23.5,0.58,1.2,1.12,0.88,2.4
Egg Puff,1 piece (~95g),324,7.2,28.8,19.8,1.8,1.6,9.3,93,410,145,31,1.25,18,98,0.64,55,0.1,0.17,1.22,0.58,0.09,27.5,0.28,2.1,0.55,1.92,4.2
Egg White,1 piece (~33g),17,3.6,0.2,0.1,0,0.2,0.0,0,55,54,2,0.03,4,5,0.01,0,0.0,0.15,0.03,0.05,0.0,1.3,0.03,0,0,0.0,0.0
Egg Yolk,1 piece (~17g),55,2.7,0.6,4.5,0,0.1,1.6,184,8,19,22,0.46,1,66,0.39,65,0.03,0.09,0.01,0.51,0.06,24.0,0.33,0,0.9,0.44,0.1
Filter Coffee / Tea (With Whole Milk & Sugar Setup),100 g,65,2.1,8.5,2.5,0,7.8,1.5,8,32,115,78,0.04,11,62,0.28,22,0.02,0.09,0.21,0.22,0.03,3.4,0.24,0.4,0.04,0.04,0.1
Fish / Prawn Biryani,100 g,171,8.9,21.6,5.4,0.8,0.4,1.5,22,345,175,26,0.88,27,101,0.71,22,0.06,0.06,2.15,0.31,1.4,7.6,0.94,0.9,1.5,0.58,1.4
Fish Biryani,100 g,171,8.9,21.6,5.4,0.8,0.4,1.5,22,345,175,26,0.88,27,101,0.71,22,0.06,0.06,2.15,0.31,0.14,7.6,0.94,0.9,1.5,0.58,1.4
Fish Curry (Seer / Rohu baseline cooked),100 g,128,15.2,2.4,6.1,0.6,0.4,1.2,41,310,210,28,0.85,26,134,0.68,32,0.05,0.06,3.4,0.41,0.18,6.5,1.15,0.8,2.1,0.72,1.2
Fish Curry / Fry / Grilled (Standard baseline dynamic cut),100 g,145,16.5,2.1,8.1,0.4,0.1,1.6,48,315,224,28,0.82,28,148,0.72,28,0.06,0.07,3.1,0.38,0.19,6.8,1.4,0.4,2.2,0.88,1.4
Fish Curry with Rice (Composite Density),100 g,145,7.4,20.2,3.8,0.5,0.3,0.9,18,290,155,22,0.62,25,88,0.55,24,0.05,0.05,1.85,0.26,0.12,6.0,0.85,0.5,1.4,0.52,0.8
Fish Fry,100 g,210,18.5,4.2,13.1,0.4,0.1,2.4,54,410,285,34,1.05,32,165,0.88,32,0.07,0.08,3.4,0.45,0.22,8.5,1.65,0.4,2.8,1.45,3.2
Fresh Fruit Juice (Orange / Mixed Unsweetened Base),100 g,45,0.7,10.4,0.1,0.2,8.4,0.01,0,2,180,11,0.15,10,16,0.06,11,0.08,0.03,0.28,0.21,0.04,25.0,0,45.0,0,0.18,0.1
Fresh Lime Juice (With Sugar Style),100 g,38,0.1,9.6,0.0,0.1,9.2,0.0,0,8,22,4,0.05,2,3,0.02,0,0.01,0.01,0.04,0.03,0.01,2.2,0,9.4,0,0.03,0.1
Fruit Bowl (Mixed Seasonal),100 g,52,0.6,12.8,0.2,1.8,9.8,0.02,0,2,168,11,0.24,9,14,0.08,32,0.03,0.02,0.32,0.15,0.05,11.0,0,28.5,0,0.24,3.2
Fruit Salad / Sliced Papaya / Sliced Watermelon,100 g,46,0.6,11.5,0.1,1.6,8.2,0.01,0,3,154,12,0.22,10,12,0.07,48,0.03,0.03,0.31,0.16,0.04,14.0,0,34.2,0,0.21,2.2
Garlic Chutney,100 g,134,2.8,14.5,7.4,2.1,2.2,1.1,0,420,182,38,0.95,15,52,0.42,24,0.08,0.03,0.55,0.18,0.14,9.5,0,6.4,0,0.82,1.9
Ghee (Pure Cow Ghee),100 g,883,0.0,0.0,99.8,0,0,64.5,256,0,0,0,0.0,0,0,0.0,840,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.8,2.8,8.4
Ghee Dosa,1 piece (~65g),210,2.9,23.1,11.8,1.1,0.1,7.2,24,182,76,14,0.74,19,48,0.34,84,0.06,0.03,0.43,0.11,0.04,3.7,0.02,0,0.12,0.42,1.6
Ghee Dosa / Ghee Roast Dosa,1 piece (~65g),210,2.9,23.1,11.8,1.1,0.1,7.2,24,182,76,14,0.74,19,48,0.34,84,0.06,0.03,0.43,0.11,0.04,3.7,0.02,0,0.12,0.42,1.6
Ghee Rice,100 g,218,2.8,25.4,11.6,0.5,0.1,7.1,22,260,42,12,0.45,14,45,0.38,78,0.04,0.02,0.42,0.15,0.04,4.2,0.02,0,0.11,0.38,1.4
Greek Yogurt,100 g,97,9.0,4.0,5.0,0,3.6,3.2,13,35,141,110,0.04,11,135,0.52,42,0.02,0.24,0.21,0.42,0.05,6.8,0.75,0,0.05,0.04,0.2
Greek Yogurt / Thick Curd,100 g,97,9.0,4.0,5.0,0,3.6,3.2,13,35,141,110,0.04,11,135,0.52,42,0.02,0.24,0.21,0.42,0.05,6.8,0.75,0,0.05,0.04,0.2
Green Gram Sundal / Sprouts Salad,100 g,145,7.2,18.5,4.8,4.2,1.6,1.8,0,210,284,32,1.65,44,108,0.74,12,0.14,0.06,0.82,0.24,0.09,36.5,0,4.5,0,0.45,2.2
Green Peas / Corn (Raw kernel),100 g,81,5.4,14.5,0.4,5.1,5.7,0.07,0,5,244,25,1.47,33,108,1.24,38,0.27,0.13,2.09,0.1,0.17,65.0,0,40.0,0,0.13,24.8
Grilled Chicken,100 g,165,31.0,0.0,3.6,0,0,1.0,85,74,256,15,1.04,29,228,1.0,0,0.07,0.11,13.8,0.96,0.6,4.0,0.34,0,0.1,0.27,0.0
Guava,1 piece (~100g),68,2.6,14.3,0.9,5.4,8.9,0.27,0,2,417,18,0.26,22,40,0.23,31,0.07,0.04,1.08,0.45,0.11,49.0,0,228.3,0,0.73,2.6
Idiyappam,1 piece (~40g),62,1.1,13.8,0.2,0.4,0.05,0.04,0,72,16,3,0.18,6,18,0.14,0,0.02,0.01,0.22,0.04,0.02,1.2,0,0,0,0.01,0.1
Idiyappam (String Hoppers) / Coconut Idiyappam,1 piece (~40g),62,1.1,13.8,0.2,0.4,0.05,0.04,0,72,16,3,0.18,6,18,0.14,0,0.02,0.01,0.22,0.04,0.02,1.2,0,0,0,0.01,0.1
Idli,1 piece (~40g),55,1.8,11.3,0.1,0.9,0.1,0.02,0,101,48,8,0.68,14,32,0.2,0,0.05,0.02,0.35,0.08,0.04,3.0,0,0,0,0.02,0.1
Indian Desserts (Mysore Pak / Laddu / Gulab Jamun / Jalebi / Halwa / Kesari),100 g,415,4.2,58.2,18.5,0.8,48.5,11.2,38,84,92,46,0.88,14,54,0.31,94,0.04,0.06,0.45,0.15,0.03,6.8,0.14,0.2,0.18,0.38,1.1
Jeera Rice,100 g,156,2.9,24.8,5.1,0.8,0.1,2.2,6,270,64,21,0.84,18,49,0.41,24,0.05,0.02,0.45,0.16,0.05,5.1,0.01,0.2,0.03,0.26,1.1
Jeera Rice / Peas Pulao,100 g,156,2.9,24.8,5.1,0.8,0.1,2.2,6,270,64,21,0.84,18,49,0.41,24,0.05,0.02,0.45,0.16,0.05,5.1,0.01,0.2,0.03,0.26,1.1
Kal Dosa,1 piece (~75g),145,3.4,26.8,2.2,1.4,0.1,0.4,0,210,88,15,0.84,22,55,0.38,0,0.07,0.04,0.5,0.12,0.05,4.2,0,0,0,0.28,1.0
Kambu Dosa,1 piece (~65g),138,3.8,23.5,2.9,2.4,0.2,0.5,0,185,156,24,1.92,52,118,0.88,2,0.15,0.06,0.85,0.28,0.12,16.5,0,0,0,0.42,1.4
Kambu Idli,1 piece (~45g),65,1.9,12.2,0.4,1.4,0.1,0.06,0,115,98,14,1.28,34,78,0.58,1,0.11,0.04,0.62,0.18,0.08,12.2,0,0,0,0.18,0.5
Kambu Koozh,100 g,74,2.1,13.5,1.1,1.8,0.5,0.22,1,68,115,28,1.45,34,82,0.65,8,0.09,0.04,0.52,0.22,0.08,12.8,0.04,0.2,0.01,0.22,0.6
Kambu Koozh / Ragi Koozh (Porridge),100 g,74,2.1,13.5,1.1,1.8,0.5,0.22,1,68,115,28,1.45,34,82,0.65,8,0.09,0.04,0.52,0.22,0.08,12.8,0.04,0.2,0.01,0.22,0.6
