id,name,calories,protein,carbs,fat
66,1 Kanchipuram Idli + 100g Roasted Chana,489,21.8,76.0,9.9
67,1 Onion Dosa + 50g Soya Chunks + Sambar,416,31.7,54.9,7.4
68,2 Chapati + 100g Fish Fry,426,25.5,47.8,15.5
69,2 Wheat Dosa + 1 Omelette,451,20.6,48.0,20.8
70,2 Wheat Dosa + 50g Peanuts,520,20.7,53.7,28.2
71,2 Rava Idli + 3 Boiled Eggs,422,23.7,32.2,21.1
72,1 Rava Dosa + 4 Egg Whites + Coconut Chutney,415,20.6,33.6,22.4
73,2 Kal Dosa + 100g Chicken Curry,432,21.3,56.8,12.2
74,100g Ven Pongal + 100g Grilled Chicken + Sambar,415,37.7,33.7,13.6
75,100g Rava Upma + 100g Paneer,407,21.5,23.3,25.3
76,2 Chapati + 100g Fish Curry + Sambar,409,24.3,54.9,10.9
77,2 Wheat Dosa + 200g Greek Yogurt,430,25.8,53.6,13.6
78,2 Idiyappam + 100g Roasted Chana,493,20.8,85.8,6.2
79,3 Ragi Idli + 50g Soya Chunks + Sambar,424,32.9,63.8,3.2
80,100g Varagu Upma + 100g Fish Fry + Sambar,413,24.2,34.6,19.6
81,100g Thinai Pongal + 1 Omelette + Sambar,458,20.1,34.1,26.5
82,100g Thinai Pongal + 50g Peanuts + Sambar,526,20.2,39.8,33.9
83,100g Oats Upma + 3 Boiled Eggs + Sambar,417,24.1,26.9,22.8
84,1 Pesarattu + 4 Egg Whites + Coconut Chutney,425,24.6,34.4,21.6
85,2 Ragi Dosa + 100g Chicken Curry,406,20.7,51.6,12.8
86,3 Kambu Idli + 100g Grilled Chicken + Sambar,425,38.8,45.5,7.2
87,100g Samai Upma + 100g Paneer,406,22.2,23.1,25.0
88,1 Uthappam + 100g Fish Curry + Sambar,408,22.1,49.8,12.7
89,2 Chapati + 200g Greek Yogurt,410,25.0,51.6,12.4
90,2 Ragi Idli + 100g Roasted Chana,493,21.8,83.8,6.2
91,2 Poori + 50g Soya Chunks,416,30.8,47.3,11.8
92,100g Semiya Upma + 100g Fish Fry + Sambar,427,24.0,37.2,20.1
93,3 Kambu Idli + 1 Omelette + Sambar,475,20.6,47.9,20.8
94,3 Kambu Idli + 50g Peanuts + Sambar,544,20.7,53.5,28.2
95,1 Plain Dosa + 3 Boiled Eggs + Sambar,424,23.8,33.1,21.0
96,100g Semiya Upma + 4 Egg Whites + Coconut Chutney,412,20.2,32.3,22.8
97,1 Adai + 100g Chicken Curry + Sambar,405,25.0,42.3,14.8
98,1 Veg Sandwich + 100g Grilled Chicken + Sambar,425,39.5,43.7,9.2
99,100g Varagu Upma + 100g Paneer,403,21.9,22.7,24.9
100,100g Sambar Idli + 100g Fish Curry + Coconut Chutney,432,21.4,29.3,26.0
101,1 Uthappam + 200g Greek Yogurt,409,22.8,46.5,14.2
102,1 Plain Dosa + 100g Roasted Chana,494,21.4,80.6,8.5
103,100g Thinai Pongal + 50g Soya Chunks + Sambar,416,33.3,48.2,9.6
104,1 Rava Dosa + 100g Fish Fry + Sambar,430,24.4,38.5,19.7
105,1 Veg Sandwich + 1 Omelette + Sambar,475,21.3,46.1,22.8
106,1 Veg Sandwich + 50g Peanuts + Sambar,544,21.4,51.7,30.2
107,2 Appam + 3 Boiled Eggs,424,21.7,36.2,20.5
108,100g Rava Upma + 4 Egg Whites + Coconut Chutney,402,20.0,30.3,22.7
109,3 Kambu Idli + 100g Chicken Curry + Sambar,402,22.3,48.7,11.4
110,1 Adai + 100g Grilled Chicken + Sambar,428,41.5,39.1,10.6
111,100g Sambar Idli + 100g Paneer + Sambar,442,24.2,29.6,25.3
112,100g Puttu + 100g Fish Curry + Sambar,433,21.8,55.5,13.3
113,100g Puttu + 200g Greek Yogurt,434,22.5,52.2,14.8
114,2 Kambu Idli + 100g Roasted Chana,499,22.4,82.6,6.6
115,2 Rava Idli + 50g Soya Chunks + Sambar,426,32.9,55.8,7.8
116,2 Oats Idli + 100g Fish Fry + Sambar,431,25.4,40.1,18.3
117,2 Thinai Dosa + 1 Omelette,483,20.6,46.6,22.8
118,2 Thinai Dosa + 50g Peanuts,552,20.7,52.2,30.2
119,3 Kambu Idli + 2 Boiled Eggs + Sambar,416,20.4,46.7,14.2
120,100g Thinai Pongal + 4 Egg Whites + Coconut Chutney,438,22.0,31.0,25.1
121,1 Veg Sandwich + 100g Chicken Curry + Sambar,402,23.0,46.9,13.4
122,2 Ragi Dosa + 100g Grilled Chicken,429,37.2,48.4,8.6
123,1 Onion Dosa + 100g Paneer,443,21.9,30.7,25.6
124,2 Kanchipuram Idli + 100g Fish Curry + Sambar,433,23.7,46.9,16.7
125,2 Kanchipuram Idli + 200g Greek Yogurt,434,24.4,43.6,18.2
126,100g Varagu Upma + 100g Roasted Chana,507,22.2,79.7,9.9
127,2 Appam + 50g Soya Chunks + Sambar,428,30.9,59.8,7.2
128,1 Adai + 100g Fish Fry,408,26.9,34.4,17.7
129,2 Chapati + 1 Omelette + Sambar,496,21.9,54.9,22.0
130,2 Chapati + 50g Peanuts + Sambar,564,22.0,60.6,29.4
